"NAME","TYPE","subType","EnergyMW","date","time"
"TARBELA","HYDEL","HYDEL",2771,"01-09-2023","01:00"
"TARBELA","HYDEL","HYDEL",2771,"01-09-2023","02:00"
"TARBELA","HYDEL","HYDEL",2771,"01-09-2023","03:00"
"TARBELA","HYDEL","HYDEL",2771,"01-09-2023","04:00"
"TARBELA","HYDEL","HYDEL",2486,"01-09-2023","05:00"
"TARBELA","HYDEL","HYDEL",2426,"01-09-2023","06:00"
"TARBELA","HYDEL","HYDEL",2526,"01-09-2023","07:00"
"TARBELA","HYDEL","HYDEL",2331,"01-09-2023","08:00"
"TARBELA","HYDEL","HYDEL",2456,"01-09-2023","09:00"
"TARBELA","HYDEL","HYDEL",2471,"01-09-2023","10:00"
"TARBELA","HYDEL","HYDEL",2571,"01-09-2023","11:00"
"TARBELA","HYDEL","HYDEL",2551,"01-09-2023","12:00"
"TARBELA","HYDEL","HYDEL",2911,"01-09-2023","13:00"
"TARBELA","HYDEL","HYDEL",2911,"01-09-2023","14:00"
"TARBELA","HYDEL","HYDEL",2711,"01-09-2023","15:00"
"TARBELA","HYDEL","HYDEL",2886,"01-09-2023","16:00"
"TARBELA","HYDEL","HYDEL",2721,"01-09-2023","17:00"
"TARBELA","HYDEL","HYDEL",2821,"01-09-2023","18:00"
"TARBELA","HYDEL","HYDEL",2996,"01-09-2023","19:00"
"TARBELA","HYDEL","HYDEL",3046,"01-09-2023","20:00"
"TARBELA","HYDEL","HYDEL",3046,"01-09-2023","21:00"
"TARBELA","HYDEL","HYDEL",2821,"01-09-2023","22:00"
"TARBELA","HYDEL","HYDEL",2953,"01-09-2023","23:00"
"TARBELA","HYDEL","HYDEL",3113,"01-09-2023","24:00"
"TARBELA Ext 4","HYDEL","HYDEL",970,"01-09-2023","01:00"
"TARBELA Ext 4","HYDEL","HYDEL",970,"01-09-2023","02:00"
"TARBELA Ext 4","HYDEL","HYDEL",970,"01-09-2023","03:00"
"TARBELA Ext 4","HYDEL","HYDEL",720,"01-09-2023","04:00"
"TARBELA Ext 4","HYDEL","HYDEL",250,"01-09-2023","05:00"
"TARBELA Ext 4","HYDEL","HYDEL",250,"01-09-2023","06:00"
"TARBELA Ext 4","HYDEL","HYDEL",300,"01-09-2023","07:00"
"TARBELA Ext 4","HYDEL","HYDEL",720,"01-09-2023","08:00"
"TARBELA Ext 4","HYDEL","HYDEL",940,"01-09-2023","09:00"
"TARBELA Ext 4","HYDEL","HYDEL",940,"01-09-2023","10:00"
"TARBELA Ext 4","HYDEL","HYDEL",940,"01-09-2023","11:00"
"TARBELA Ext 4","HYDEL","HYDEL",940,"01-09-2023","12:00"
"TARBELA Ext 4","HYDEL","HYDEL",940,"01-09-2023","13:00"
"TARBELA Ext 4","HYDEL","HYDEL",940,"01-09-2023","14:00"
"TARBELA Ext 4","HYDEL","HYDEL",1190,"01-09-2023","15:00"
"TARBELA Ext 4","HYDEL","HYDEL",1356,"01-09-2023","16:00"
"TARBELA Ext 4","HYDEL","HYDEL",1230,"01-09-2023","17:00"
"TARBELA Ext 4","HYDEL","HYDEL",1230,"01-09-2023","18:00"
"TARBELA Ext 4","HYDEL","HYDEL",1390,"01-09-2023","19:00"
"TARBELA Ext 4","HYDEL","HYDEL",1410,"01-09-2023","20:00"
"TARBELA Ext 4","HYDEL","HYDEL",1410,"01-09-2023","21:00"
"TARBELA Ext 4","HYDEL","HYDEL",1410,"01-09-2023","22:00"
"TARBELA Ext 4","HYDEL","HYDEL",1410,"01-09-2023","23:00"
"TARBELA Ext 4","HYDEL","HYDEL",1410,"01-09-2023","24:00"
"MANGLA","HYDEL","HYDEL",485,"01-09-2023","01:00"
"MANGLA","HYDEL","HYDEL",485,"01-09-2023","02:00"
"MANGLA","HYDEL","HYDEL",485,"01-09-2023","03:00"
"MANGLA","HYDEL","HYDEL",485,"01-09-2023","04:00"
"MANGLA","HYDEL","HYDEL",485,"01-09-2023","05:00"
