"NAME","TYPE","present_dependable_capability"
"TARBELA","HYDEL",3478
"TARBELA  Ext 04","HYDEL",1410
"MANGLA","HYDEL",1070
"G/BROTHA","HYDEL",1450
"WARSAK","HYDEL",243
"CHASHMA","HYDEL",184
"JINNAH HYDEL","HYDEL",96
"ALLAI KHWAR","HYDEL",121
"KHAN  KHWAR","HYDEL",72
"DUBAIR KHWAR","HYDEL",130
"NEELAM JEHLAM","HYDEL",969
"GOLEN  GOLE","HYDEL",108
"JAMSHORO","GENCO",649.02
"KOTRI","GENCO",0
"LAKHRA","GENCO",0
"GUDDU   1-4","GENCO",0
"GUDDU   5-13","GENCO",920
"GUDDU 747","GENCO",721
"QUETTA","GENCO",0
"MUZAFFARGARH","GENCO",839.03
"MULTAN","GENCO",0
"GTPS FAISALABAD","GENCO",0
"SPS FBD","GENCO",0
"SHAHDARA","GENCO",0
"NANDI PUR","GENCO",498.662
"JAGRAN","HYDEL",30.4
"MALAKAND - III","HYDEL",81
"NEW BONG ESCAPE","HYDEL",84
"PATRIND","HYDEL",147
"DARAL KHWAR (BEHREN)","HYDEL",36.6
"GUL PUR","HYDEL",101
"KAROT HYDEL","HYDEL",720
"KAPCO","FOSSIL FUEL",0
"HUBCO","FOSSIL FUEL",1200
"KEL","FOSSIL FUEL",124
"AES LALPIR","FOSSIL FUEL",350
"AES PAKGEN","FOSSIL FUEL",350
"SEPCOL","FOSSIL FUEL",0
"HCPC","FOSSIL FUEL",129
"UCH","FOSSIL FUEL",546.53
"ROUSCH","FOSSIL FUEL",395
"FKPCL","FOSSIL FUEL",151
"SABA","FOSSIL FUEL",125
"JAPAN","FOSSIL FUEL",0
"LIBERTY POWER","FOSSIL FUEL",212
"AEL","FOSSIL FUEL",0
"DAVIS","FOSSIL FUEL",0
"AGL","FOSSIL FUEL",156
"ATLAS","FOSSIL FUEL",214
"ENGRO","FOSSIL FUEL",212
"SAIF","FOSSIL FUEL",204
"ORIENT","FOSSIL FUEL",203
"NISHAT POWER","FOSSIL FUEL",195
"NISHAT CHUNIAN","FOSSIL FUEL",196
"FOUNDATION","FOSSIL FUEL",165.008
"SAPPHIRE","FOSSIL FUEL",202
"LIBERTY TECH.","FOSSIL FUEL",196.139
"HUBCO NAROWAL","FOSSIL FUEL",214
"HALMORE  (HPGCL)","FOSSIL FUEL",200
"UCH-II","FOSSIL FUEL",360.2
"BHIKKI (QATPL)","FOSSIL FUEL",1120
"SAHIWAL (COAL)(HSR)","FOSSIL FUEL",1243.517
"H-B-SHAH","FOSSIL FUEL",1171.822
"RESHMA POWER","FOSSIL FUEL",0
"GULF POWER","FOSSIL FUEL",0
"BALLOKI","FOSSIL FUEL",1164.608
"PORT QASIM COAL","FOSSIL FUEL",1242.95
"ENGRO THAR COAL","FOSSIL FUEL",602.6
"CHINA HUBCO COAL","FOSSIL FUEL",1249.1
"LUCKY COAL","FOSSIL FUEL",606.8
"PUNJAB THERMAL","FOSSIL FUEL",1180
"THAR ENERGY LTD (TEL)","FOSSIL FUEL",300
"SHANGHAI ELECTRIC (LTD)","FOSSIL FUEL",1230
"THALL NOVA(PNTPL)","FOSSIL FUEL",303
"JDW-II (SADIQ ABAD)","BAGASSE",24
"JDW-III (GHOTKI)","BAGASSE",24
"RYKML","BAGASSE",24
"CHINIOT POWER","BAGASSE",63
"FATIMA ENERGY (FEL)","BAGASSE",45
"HAMZA SUGAR","BAGASSE",15
"THALL POWER (LAYYAH)","BAGASSE",25
"ALMOIZ INDUSTRIES LIMITED","BAGASSE",36
"CHANAR ENERGY LIMITED","BAGASSE",22
"CHASHNUPP - I","NUCLEAR",301
"CHASHNUPP-II","NUCLEAR",315
"CHASHNUPP-III","NUCLEAR",315
"CHASHNUPP-IV","NUCLEAR",315
"K-2","NUCLEAR",1040
"K-3","NUCLEAR",1040
"QUAID AZAM SOLAR","SOLAR",96
"APPOLO SOLAR","SOLAR",96
"BEST GREEN SOLAR","SOLAR",96
"CREST ENERGY SOLAR","SOLAR",96
"ZHENFA SOLAR","SOLAR",100
"FFCEL WIND","WIND",50
"ZEPL WIND","WIND",56
"TGF WIND","WIND",50
"FWEL-I WIND","WIND",50
"FWEL-II WIND","WIND",50
"SAPPHIRE WIND (SWPCL)","WIND",50
"METRO WIND (MPCL)","WIND",50
"YOUNIS WIND","WIND",50
"TAPAL WIND(TWEPL)","WIND",30
"MASTER WIND (MWEL)","WIND",50
"TAPAL WIND--2","WIND",50
"GUL AHMED WIND (GAWPL)","WIND",50
"ARTISTIC WIND--2","WIND",50
"SACHAL WIND","WIND",50
"UEP WIND POWER","WIND",99
"ARTISTIC WIND","WIND",50
"HAWA WIND (HEPL)","WIND",50
"TGT WIND","WIND",50
"TGS ENERGY","WIND",50
"TRICON BOSTON (A)","WIND",50
"TRICON BOSTON (B)","WIND",50
"TRICON BOSTON (C)","WIND",50
"MASTER GREEN WIND","WIND",50
"TENAGA WIND","WIND",50
"DAWOOD WIND","WIND",50
"ZEPHYR WIND","WIND",50
"INDUS WIND","WIND",50
"DIN WIND ENERGY","WIND",50
"LIBERTY WIND-I","WIND",50
"GUL AHMED WIND -II","WIND",50
"METRO WIND -II","WIND",60
"NASDA GREEN WIND","WIND",50
"LAKED SIDE WIND","WIND",50
"LIBERTY WIND-II","WIND",50
