"","NAME","TYPE","UNIT","installedCapacity","deratedCapacity"
"1","TARBELA","HYDEL",1,175,175
"2","TARBELA","HYDEL",2,175,175
"3","TARBELA","HYDEL",3,175,175
"4","TARBELA","HYDEL",4,175,175
"5","TARBELA","HYDEL",5,175,175
"6","TARBELA","HYDEL",7,175,175
"7","TARBELA","HYDEL",8,175,175
"8","TARBELA","HYDEL",9,175,175
"9","TARBELA","HYDEL",10,175,175
"10","TARBELA","HYDEL",11,432,432
"11","TARBELA","HYDEL",12,432,432
"12","TARBELA","HYDEL",13,432,432
"13","TARBELA","HYDEL",14,432,432
"14","TARBELA","HYDEL",15,470,450
"15","TARBELA","HYDEL",16,470,450
"16","TARBELA","HYDEL",17,470,450
"17","MANGLA","HYDEL",1,100,100
"18","MANGLA","HYDEL",2,100,100
"19","MANGLA","HYDEL",2,100,100
"20","MANGLA","HYDEL",3,100,100
"21","MANGLA","HYDEL",4,100,100
"22","MANGLA","HYDEL",6,100,100
"23","MANGLA","HYDEL",7,100,100
"24","MANGLA","HYDEL",8,100,100
"25","MANGLA","HYDEL",9,100,100
"26","MANGLA","HYDEL",10,100,100
"27","GHAZI BROTHA","HYDEL",1,290,290
"28","GHAZI BROTHA","HYDEL",2,290,290
"29","GHAZI BROTHA","HYDEL",3,290,290
"30","GHAZI BROTHA","HYDEL",4,290,290
"31","GHAZI BROTHA","HYDEL",5,290,290
"32","WARSAK","HYDEL",1,40,35
"33","WARSAK","HYDEL",2,40,35
"34","WARSAK","HYDEL",3,40,35
"35","WARSAK","HYDEL",4,40,35
"36","WARSAK","HYDEL",5,41.48,40
"37","WARSAK","HYDEL",6,41.48,40
"38","CHASHMA HYD","HYDEL",1,23,23
"39","CHASHMA HYD","HYDEL",2,23,23
"40","CHASHMA HYD","HYDEL",3,23,23
"41","CHASHMA HYD","HYDEL",4,23,23
"42","CHASHMA HYD","HYDEL",5,23,23
"43","CHASHMA HYD","HYDEL",6,23,23
"44","CHASHMA HYD","HYDEL",7,23,23
"45","CHASHMA HYD","HYDEL",8,23,23
"46","JINNAH HYD.","HYDEL",1,12,12
"47","JINNAH HYD.","HYDEL",2,12,12
"48","JINNAH HYD.","HYDEL",3,12,12
"49","JINNAH HYD.","HYDEL",4,12,12
"50","JINNAH HYD.","HYDEL",5,12,12
"51","JINNAH HYD.","HYDEL",6,12,12
"52","JINNAH HYD.","HYDEL",7,12,12
"53","JINNAH HYD.","HYDEL",8,12,12
"54","ALLAI KHWAR","HYDEL",1,60.5,60
"55","ALLAI KHWAR","HYDEL",2,60.5,60
"56","KHAN KHWAR","HYDEL",1,34,34
"57","KHAN KHWAR","HYDEL",2,34,34
"58","KHAN KHWAR","HYDEL",3,4,4
"59","DUBAIR KHWAR","HYDEL",1,65,65
"60","DUBAIR KHWAR","HYDEL",2,65,65
"61","NEELUM JEHLUM","HYDEL",1,242,240
"62","NEELUM JEHLUM","HYDEL",2,242,240
"63","NEELUM JEHLUM","HYDEL",3,242,240
"64","NEELUM JEHLUM","HYDEL",4,242,240
"65","GOLEN GOL","HYDEL",1,36,36
"66","GOLEN GOL","HYDEL",2,36,36
"67","GOLEN GOL","HYDEL",3,36,36
"68","JAMSHORO","THERMAL",1,250,182.4
"69","JAMSHORO","THERMAL",2,200,154.7
"70","JAMSHORO","THERMAL",3,200,155.3
"71","JAMSHORO","THERMAL",4,200,156.4
"72","JAMSHORO","THERMAL",5,100,50
"73","JAMSHORO","THERMAL",6,100,85
"74","JAMSHORO","THERMAL",7,110,90
"75","JAMSHORO","THERMAL",8,110,90
"76","JAMSHORO","THERMAL",9,110,90
"77","JAMSHORO","THERMAL",10,110,90
"78","JAMSHORO","THERMAL",11,136,130
"79","JAMSHORO","THERMAL",12,136,130
"80","JAMSHORO","THERMAL",13,143,130
"81","JAMSHORO","THERMAL",14,249,234.4
"82","JAMSHORO","THERMAL",15,249,234.4
"83","JAMSHORO","THERMAL",16,255,251.8
"84","MUZAFFARGARH","THERMAL",1,210,174.9
"85","MUZAFFARGARH","THERMAL",2,210,168.2
"86","MUZAFFARGARH","THERMAL",3,210,170.5
"87","MUZAFFARGARH","THERMAL",4,320,245.96
"88","MUZAFFARGARH","THERMAL",5,200,167.2
"89","MUZAFFARGARH","THERMAL",6,200,158.09
"90","GTPS FAISALABAD","THERMAL",1,25,25
"91","GTPS FAISALABAD","THERMAL",2,25,25
"92","GTPS FAISALABAD","THERMAL",3,25,25
"93","GTPS FAISALABAD","THERMAL",4,25,25
"94","GTPS FAISALABAD","THERMAL",5,25,19.3
"95","GTPS FAISALABAD","THERMAL",6,25,19.3
"96","GTPS FAISALABAD","THERMAL",7,25,19.3
"97","GTPS FAISALABAD","THERMAL",8,25,19.3
"98","GTPS FAISALABAD","THERMAL",9,44,37.1
"99","SPS FBD","THERMAL",1,66,45
"100","SPS FBD","THERMAL",2,66,42
"101","NANDI PUR","THERMAL",1,130,98
"102","NANDI PUR","THERMAL",2,130,98
"103","NANDI PUR","THERMAL",3,130,98
"104","NANDI PUR","THERMAL",4,141,155.7
"105","JAGRAN","HYDEL",1,6.08,6
"106","JAGRAN","HYDEL",2,6.08,6
"107","JAGRAN","HYDEL",3,6.08,6
"108","JAGRAN","HYDEL",4,6.08,6
"109","JAGRAN","HYDEL",5,6.08,6
"110","MALAKAND - III","HYDEL",1,27,25
"111","MALAKAND - III","HYDEL",2,27,25
"112","MALAKAND - III","HYDEL",3,27,25
"113","NEW BONG ESCAPE","HYDEL",1,21,21
"114","NEW BONG ESCAPE","HYDEL",2,21,21
"115","NEW BONG ESCAPE","HYDEL",3,21,21
"116","NEW BONG ESCAPE","HYDEL",4,21,21
"117","PATRIND","HYDEL",1,50,50
"118","PATRIND","HYDEL",2,50,50
"119","PATRIND","HYDEL",3,50,50
"120","DARAL KHWAR","HYDEL",1,6,6
"121","DARAL KHWAR","HYDEL",2,15.3,15
"122","DARAL KHWAR","HYDEL",3,15.3,15
"123","GUL PUR","HYDEL",1,50.5,50
"124","GUL PUR","HYDEL",2,50.5,50
"125","KAROT HYDEL","HYDEL",1,180,180
"126","KAROT HYDEL","HYDEL",2,180,180
"127","KAROT HYDEL","HYDEL",3,180,180
"128","KAROT HYDEL","HYDEL",4,180,180
"129","HUBCO","FOSSIL FUEL",1,323,300
"130","HUBCO","FOSSIL FUEL",2,323,300
"131","HUBCO","FOSSIL FUEL",3,323,300
"132","HUBCO","FOSSIL FUEL",4,323,300
"133","KEL","FOSSIL FUEL",1,16,14
"134","KEL","FOSSIL FUEL",2,16,14
"135","KEL","FOSSIL FUEL",3,16,14
"136","KEL","FOSSIL FUEL",4,16,14
"137","KEL","FOSSIL FUEL",5,16,14
"138","KEL","FOSSIL FUEL",6,16,14
"139","KEL","FOSSIL FUEL",7,16,14
"140","KEL","FOSSIL FUEL",8,16,14
"141","KEL","FOSSIL FUEL",9,9,6
"142","AES LALPIR","FOSSIL FUEL",1,365,350
"143","PAKGEN","FOSSIL FUEL",1,365,350
"144","SEPCOL","FOSSIL FUEL",1,23,20
"145","SEPCOL","FOSSIL FUEL",2,23,20
"146","SEPCOL","FOSSIL FUEL",3,23,20
"147","SEPCOL","FOSSIL FUEL",4,23,20
"148","SEPCOL","FOSSIL FUEL",5,23,20
"149","HCPC","FOSSIL FUEL",1,37,32
"150","HCPC","FOSSIL FUEL",2,37,32
"151","HCPC","FOSSIL FUEL",3,37,32
"152","HCPC","FOSSIL FUEL",4,29,25
"153","UCH-I","FOSSIL FUEL",1,130,130
"154","UCH-I","FOSSIL FUEL",2,130,130
"155","UCH-I","FOSSIL FUEL",3,130,130
"156","UCH-I","FOSSIL FUEL",4,196,190
"157","UCH-I","FOSSIL FUEL",2,140,140
"158","UCH-I","FOSSIL FUEL",3,140,140
"159","FKPCL","FOSSIL FUEL",1,49,40
"160","FKPCL","FOSSIL FUEL",2,49,40
"161","FKPCL","FOSSIL FUEL",3,49,40
"162","SABA","FOSSIL FUEL",1,125,154
"163","LIBERTY POWER","FOSSIL FUEL",1,139,132
"164","AEL","FOSSIL FUEL",1,3.909,4
"165","AEL","FOSSIL FUEL",2,3.909,4
"166","AEL","FOSSIL FUEL",3,3.909,4
"167","AEL","FOSSIL FUEL",4,3.909,4
"168","AEL","FOSSIL FUEL",5,3.909,4
"169","AEL","FOSSIL FUEL",6,3.909,4
"170","AEL","FOSSIL FUEL",7,3.909,4
"171","AEL","FOSSIL FUEL",8,3.909,4
"172","AGL","FOSSIL FUEL",1,16.4,16
"173","AGL","FOSSIL FUEL",2,16.4,16
"174","AGL","FOSSIL FUEL",3,16.4,16
"175","AGL","FOSSIL FUEL",4,16.4,16
"176","AGL","FOSSIL FUEL",5,16.4,16
"177","AGL","FOSSIL FUEL",6,16.4,16
"178","AGL","FOSSIL FUEL",7,16.4,16
"179","AGL","FOSSIL FUEL",8,16.4,16
"180","AGL","FOSSIL FUEL",9,16.4,16
"181","AGL","FOSSIL FUEL",10,14,10
