"date","time","EnergyMW","TYPE","subType","fuel_type"
"2023-05-17","01:00",1170,"HYDEL","HYDEL",NA
"2023-05-17","02:00",1174,"HYDEL","HYDEL",NA
"2023-05-17","03:00",1174,"HYDEL","HYDEL",NA
"2023-05-17","04:00",870,"HYDEL","HYDEL",NA
"2023-05-17","05:00",670,"HYDEL","HYDEL",NA
"2023-05-17","06:00",670,"HYDEL","HYDEL",NA
"2023-05-17","07:00",1494,"HYDEL","HYDEL",NA
"2023-05-17","08:00",1490,"HYDEL","HYDEL",NA
"2023-05-17","09:00",1415,"HYDEL","HYDEL",NA
"2023-05-17","10:00",1070,"HYDEL","HYDEL",NA
"2023-05-17","11:00",995,"HYDEL","HYDEL",NA
"2023-05-17","12:00",995,"HYDEL","HYDEL",NA
"2023-05-17","13:00",1200,"HYDEL","HYDEL",NA
"2023-05-17","14:00",1485,"HYDEL","HYDEL",NA
"2023-05-17","15:00",1482,"HYDEL","HYDEL",NA
"2023-05-17","16:00",1282,"HYDEL","HYDEL",NA
"2023-05-17","17:00",980,"HYDEL","HYDEL",NA
"2023-05-17","18:00",1040,"HYDEL","HYDEL",NA
"2023-05-17","19:00",860,"HYDEL","HYDEL",NA
"2023-05-17","20:00",540,"HYDEL","HYDEL",NA
"2023-05-17","21:00",470,"HYDEL","HYDEL",NA
"2023-05-17","22:00",1279,"HYDEL","HYDEL",NA
"2023-05-17","23:00",1120,"HYDEL","HYDEL",NA
"2023-05-17","00:00",1280,"HYDEL","HYDEL",NA
"2023-05-17","01:00",0,"HYDEL","HYDEL",NA
"2023-05-17","02:00",0,"HYDEL","HYDEL",NA
"2023-05-17","03:00",0,"HYDEL","HYDEL",NA
"2023-05-17","04:00",0,"HYDEL","HYDEL",NA
"2023-05-17","05:00",0,"HYDEL","HYDEL",NA
"2023-05-17","06:00",0,"HYDEL","HYDEL",NA
"2023-05-17","07:00",0,"HYDEL","HYDEL",NA
"2023-05-17","08:00",0,"HYDEL","HYDEL",NA
"2023-05-17","09:00",0,"HYDEL","HYDEL",NA
"2023-05-17","10:00",0,"HYDEL","HYDEL",NA
"2023-05-17","11:00",0,"HYDEL","HYDEL",NA
"2023-05-17","12:00",0,"HYDEL","HYDEL",NA
"2023-05-17","13:00",0,"HYDEL","HYDEL",NA
"2023-05-17","14:00",0,"HYDEL","HYDEL",NA
"2023-05-17","15:00",0,"HYDEL","HYDEL",NA
"2023-05-17","16:00",0,"HYDEL","HYDEL",NA
"2023-05-17","17:00",0,"HYDEL","HYDEL",NA
"2023-05-17","18:00",0,"HYDEL","HYDEL",NA
"2023-05-17","19:00",0,"HYDEL","HYDEL",NA
"2023-05-17","20:00",0,"HYDEL","HYDEL",NA
"2023-05-17","21:00",0,"HYDEL","HYDEL",NA
"2023-05-17","22:00",0,"HYDEL","HYDEL",NA
"2023-05-17","23:00",0,"HYDEL","HYDEL",NA
"2023-05-17","00:00",0,"HYDEL","HYDEL",NA
"2023-05-17","01:00",709,"HYDEL","HYDEL",NA
"2023-05-17","02:00",709,"HYDEL","HYDEL",NA
"2023-05-17","03:00",709,"HYDEL","HYDEL",NA
"2023-05-17","04:00",709,"HYDEL","HYDEL",NA
"2023-05-17","05:00",709,"HYDEL","HYDEL",NA
"2023-05-17","06:00",709,"HYDEL","HYDEL",NA
"2023-05-17","07:00",709,"HYDEL","HYDEL",NA
"2023-05-17","08:00",709,"HYDEL","HYDEL",NA
"2023-05-17","09:00",709,"HYDEL","HYDEL",NA
"2023-05-17","10:00",709,"HYDEL","HYDEL",NA
"2023-05-17","11:00",709,"HYDEL","HYDEL",NA
"2023-05-17","12:00",709,"HYDEL","HYDEL",NA
"2023-05-17","13:00",709,"HYDEL","HYDEL",NA
"2023-05-17","14:00",709,"HYDEL","HYDEL",NA
"2023-05-17","15:00",709,"HYDEL","HYDEL",NA
"2023-05-17","16:00",709,"HYDEL","HYDEL",NA
"2023-05-17","17:00",709,"HYDEL","HYDEL",NA
"2023-05-17","18:00",709,"HYDEL","HYDEL",NA
"2023-05-17","19:00",709,"HYDEL","HYDEL",NA
"2023-05-17","20:00",709,"HYDEL","HYDEL",NA
"2023-05-17","21:00",458,"HYDEL","HYDEL",NA
